pr_id,title,author,created_at,merged_at,closed_at,reverted,reviewers
1001,Add user authentication,alice,2024-01-02T09:00:00Z,2024-01-03T14:30:00Z,,false,"bob,carol"
1002,Fix login bug,bob,2024-01-02T10:15:00Z,2024-01-02T16:45:00Z,,false,alice
1003,Update README,carol,2024-01-03T08:30:00Z,2024-01-03T11:00:00Z,,false,alice
1004,Refactor database layer,alice,2024-01-03T13:00:00Z,2024-01-05T09:30:00Z,,false,"bob,david"
1005,Add password reset,david,2024-01-04T09:00:00Z,2024-01-05T15:00:00Z,,false,"alice,carol"
1006,Fix session handling,bob,2024-01-05T10:00:00Z,2024-01-05T14:00:00Z,2024-01-06T10:00:00Z,true,carol
1007,Improve error messages,eve,2024-01-05T11:30:00Z,2024-01-07T10:00:00Z,,false,"alice,bob"
1008,Add logging,carol,2024-01-06T09:00:00Z,2024-01-07T16:00:00Z,,false,alice
1009,Update dependencies,alice,2024-01-08T09:00:00Z,2024-01-08T15:00:00Z,,false,bob
1010,Fix API endpoint,david,2024-01-08T10:30:00Z,2024-01-09T11:00:00Z,,false,alice
1011,Add user roles,bob,2024-01-09T09:00:00Z,2024-01-10T14:00:00Z,,false,"alice,carol"
1012,Performance optimization,alice,2024-01-10T08:00:00Z,2024-01-11T16:30:00Z,,false,bob
1013,Fix memory leak,carol,2024-01-10T14:00:00Z,2024-01-11T10:00:00Z,,false,alice
1014,Add caching layer,eve,2024-01-11T09:00:00Z,2024-01-13T15:00:00Z,,false,"alice,david"
1015,Update UI components,david,2024-01-12T09:30:00Z,2024-01-13T11:00:00Z,,false,carol
1016,Fix validation bug,bob,2024-01-12T15:00:00Z,2024-01-13T09:00:00Z,,false,alice
1017,Add rate limiting,alice,2024-01-15T09:00:00Z,2024-01-16T14:00:00Z,,false,"bob,carol"
1018,Improve test coverage,carol,2024-01-15T11:00:00Z,2024-01-16T10:00:00Z,,false,alice
1019,Fix race condition,eve,2024-01-16T09:00:00Z,2024-01-17T15:00:00Z,,false,alice
1020,Add monitoring,david,2024-01-16T13:00:00Z,2024-01-18T10:00:00Z,,false,"alice,bob"
1021,Refactor auth flow,bob,2024-01-17T09:00:00Z,2024-01-18T14:30:00Z,,false,alice
1022,Fix CORS issue,alice,2024-01-18T10:00:00Z,2024-01-18T16:00:00Z,,false,carol
1023,Add webhook support,carol,2024-01-19T09:00:00Z,2024-01-20T15:00:00Z,,false,"alice,bob"
1024,Update documentation,eve,2024-01-19T14:00:00Z,2024-01-20T11:00:00Z,,false,alice
1025,Fix null pointer,david,2024-01-22T09:00:00Z,2024-01-22T14:00:00Z,,false,bob
1026,Add input sanitization,alice,2024-01-22T10:30:00Z,2024-01-23T16:00:00Z,,false,carol
1027,Performance profiling,bob,2024-01-23T09:00:00Z,2024-01-24T11:00:00Z,,false,alice
1028,Fix timezone handling,carol,2024-01-23T13:00:00Z,2024-01-24T09:00:00Z,,false,alice
1029,Add export feature,eve,2024-01-24T09:00:00Z,2024-01-26T14:00:00Z,,false,"alice,david"
1030,Update error handling,david,2024-01-25T09:00:00Z,2024-01-26T10:00:00Z,,false,alice
1031,Fix async issue,bob,2024-01-25T14:00:00Z,2024-01-26T09:00:00Z,2024-01-27T10:00:00Z,true,carol
1032,Add search functionality,alice,2024-01-26T09:00:00Z,2024-01-27T15:00:00Z,,false,"bob,carol"
1033,Improve loading times,carol,2024-01-29T09:00:00Z,2024-01-30T14:00:00Z,,false,alice
1034,Fix pagination,eve,2024-01-29T11:00:00Z,2024-01-30T10:00:00Z,,false,alice
1035,Add notification system,david,2024-01-30T09:00:00Z,2024-02-01T15:00:00Z,,false,"alice,bob"
1036,Update config system,bob,2024-01-30T13:00:00Z,2024-01-31T11:00:00Z,,false,alice
1037,Fix date formatting,alice,2024-01-31T09:00:00Z,2024-01-31T16:00:00Z,,false,carol
1038,Add batch operations,carol,2024-02-01T09:00:00Z,2024-02-02T14:00:00Z,,false,"alice,bob"
1039,Improve accessibility,eve,2024-02-01T14:00:00Z,2024-02-03T10:00:00Z,,false,alice
1040,Fix mobile layout,david,2024-02-02T09:00:00Z,2024-02-03T15:00:00Z,,false,carol
